No;Repo;repo2docker-checker, without commit 
1;bendichter/tenseflow, a6ae1c1f264fb06a2f521adcddf8e474a5696974;3 failures. Modules
2;mottiden/Notebooks, 0aa07638bbad8a4702883548f82d19b6237b310f;5 failures. FileNotFound, modules
3;apockill/EasyInference, 33dc9c90a3d07de305f1cdb9ffb88906202998d7;No tests found
4;obyrned1/COMP47350_DataAnalytics_Homework2@ b3aec61b659e2bbbd6f32bb2b5e68fbd74612b2a;Build failed 
5;alaakh42/Sentiment_Model_Template, a11b170852ed6260e38c953f3ee36900ca36ea22;Build failed. Could not find requirement satisfying … No matching distribution
6;CATH-summer-2017/django_CATH, 0eb5b50d16a3b4131f0be289b31e5f41c6425c5a;Build failed. Subprocess, many errors, such as failed building wheel for numpy
7;TRIYGH/consumer-complaints, 58a7f4ed4cfa74cadbf11dd97955cb10575aea81;Build failed, gcc
8;ANRhine/cs231n_spring2017;5 failures. Module not found
9;jpbm/dragonfly_tws;Build failed. No matching distribution, requirement with version not satisfied 
10;geoffbacon/nlp-with-nltk-spacy;Build failed. Core dumped 
11;adrn/adrn.github.io-source;No tests found, build success
12;MIREL-UNC/echr_dataset;Build failed. Invalid requirement 
13;DELTA37/TimeSeries;Build failed. Not matching distribution, not requirement met
14;bdshieh/interaction3;Build failed. Module not found
15;hammerlab/vaf-experiments;"1 ok, 1 failure. KeyError ""study"""
16;jiaqi216/pydata_dc;1 failure. OperationalError
17;aiki-io/old-ml;Username
18;madEngin33r/GAN-Implementations;1 failure. Module
19;thavan/Python-Training;5 failures. ValueError, FileNotFound, StdinNotImplementedError
20;bruvduroiu/AnoGAN-tf;1 failure AttributeError
21;Casey1203/cs231n-2016;5 failures. Module
22;plazowicz/pydata2017;1 failure. Module not found
23;ranarag/pymc_tutorials;5 failures. Syntax, module, nameError
24;fragapanagos/notebooks;Build failed. Syntax Error 
25;NathanYee/Video-Processing;Build failed, invalid requirement 
26;JoeyTribbianiJr/cs231n;5 failures. Modules
27;hahakumquat/R3act-App;1 failure. Module (pandas)
28;rllin/leaf_classification;Build failed. No matching distribution, requirements not satisfied 
29;dhingratul/Learning-To-Represent-Text;Build failure. SubProcess. Exit status 1
30;sharonsu94/interactive-visualization-and-dashboard;Build failure. Exit status 1
31;fabianschilling/string-kernels;4 failures. 1 ok. Modules
32;Zyxelo/Dog-Classifier;4 failures. Modules
33;paulmorio/deap_analysis;Build failed. No matching distribution. 
34;nathanrogers18/flipping-out;Build failed. Command errored with exit status 1. gcc
35;dylandaniels/twitter-oscars;Build failed. Command errored with exit status 1. gcc
36;jgollub1/tennis_match_prediction;Build failed. Invalid requirement. Subprocess
37;leilsonlima/crypto_trading;Build failed, dependencies fail 
38;aashudwivedi/cs231n;5 failures. Module
39;zds0/transparent_conductors;Build failed. Could not find version satisfying requirement + no matching distribution
40;polarbearmaster/cs231n;5 failures. Modules
41;mattmcd/PyAnalysis;5 failures. Python 3: No such file or directory
42;Sjymmd/SKLearn;Username
43;apurveyajnik/Employee-Salary-prediction;2 failures. TypeError, ImportError
44;zenotech/UQM-Workshop;Build failed. Pysqlite is not supported on Python 3. 
45;yassinzak/Fishy;5 failures. Module and syntax
46;ShuangLiBCM/local_lr_unsup;Building using DockerBuilder. Build failed. Requirement not satisfied, no matching distribution 
47;liaofuwei/pythoncoding;5 failures. Syntax, modules
48;Judywawira/fastai;5 failures. Syntax, modules, fileNotFound
49;leovalberg/GuessWho;Build failed. Requirement not satisfied, no matching distribution
50;sunwsusan/Meetup_NYCDataScienceStudyGroup;5 failures. Module, name, syntaxError
51;mdhk/ULL;Username
52;zexihan/CS231n-assignments;5 failures. Syntax (__future__)
53;gonggle/data-science-learning;Username
54;shallowyuan/python_action;5 failures. Modules
55;shantanuj/ImageRec;4 failures. Modules not found
56;quantopian/pyfolio;5 failures. Name, key, Type, attribute, syntax
57;zixie1991/deepnetworks;5 failures. Modules
58;stonewallstan/zachsunlimited;Build failed. No matching distribution, requirement not satisfied 
59;AkiNikolaidis/ShabbyTest;1 ok
60;mindfulmagician/Object-Recognition;5 failures. ModuleNotFound
61;ayushbansal07/CS231n;5 failures. Modules
62;greenelab/PathCORE-T-analysis;Build failed. Requirement not satisfied, no matching distribution 
63;andlay/binder-test;1 ok
64;seaswander/Python_Playground;1 ok, 3 fails. Modules
65;SrikanthVelpuri/pygta5-master;Build failed. No matching distribution, version requirement not satisfied
66;Bakeforfun/Python;1 ok, 4 fail. ModuleNotFound
67;simpeg/simpegmt;Build failed. Syntax leading to exit status 1
68;karolisjan/DataScience;5 failures. Modules
69;ryneches/SuchTree;5 failures. Modules
70;bmruotsi/moneyball;Username
71;JBuete/FlashPy;5 failures. Modules and OSError
72;MikeJay-ctrl/cs231;5 failures. Modules
73;mjoneill88/car-worth-linear-regression;Build failed. Requirement not satisfied and no matching distribution
74;wwendt/Planning;5 failures. ImportError
75;dssg/hitchhikers-guide;2 failures, 3 ok. SpecificationError, FileNotFound
76;eric-bunch/time_series_tda;Build failed. Exit status 1. 
77;hknam/deeplearning;Username
78;JunShern/comper;Build failed. No matching distribution. Requirement for version not met. 
79;shortdistance/MyJupterDoc;1 fail. 4 ok. Syntax error (python 2)
80;Scrier/udacity;Build failed. Could not clone 
81;codejoydo/Semester_5;Error testing. No url found for submodule. Subprocess
82;tcs459163616/PythonDataScience;Build failed. Exit status 1
83;yoheikikuta/sandbox-edward;Build failed. Cannot uninstall terminado. subprocess
84;AloysiusDJ/udacity;4 failures, 1 ok. Module, name, syntax
85;playerkk/map-words-faster-rcnn;5 failures. Modules.
86;akshaybhatia10/Book-Genre-Classification;Build failed. No matching distribution, version requirement not satisfied 
87;lisaleemcb/sncosmo_lc_analysis;5 failures. TypeError, modules
88;andygittings/arc-python-hpc;Username
89;mgalardini/jupyter_example_pipeline;Build failure. Backport is for 2.7 only 
90;OdineiRibeiro/time_series_visualization;Username
91;sharno/CS231n;5 failures. Modules
92;wendingp/Stanford-CS231n;Username
93;elhanarinc/deeplearning;5 failures. Modules
94;BlueBrain/nat;5 failures. Modules
95;BedirYilmaz/cs231-stanford;5 failures. Modules
96;maxmiao2017/Resource-Watch;5 failures. Modules
97;mGosset/BrowserFingerprint;Build failed. No version requirement satisfied, no matching distribution 
98;alexandonian/lightning;Build failed. Exit status 1 
99;uwescience/DSSG2016-SensingTheCensus;5 failures. Modules
100;Jorgee1/GT5-Test;Build failed. Requirement version and no matching distribution 
101;sylvesterchiang/cs231;5 failures. Modules
102;darothen-cc/nowcast_testing_scraper;1 failure. Module
103;ContinuumIO/supercomputing2016-python;Build failed, exit status 1. Module not found. 
104;allenphilip93/ML-projects;5 failures, modules
105;madEngin33r/Implementations;4 failures. Modules
106;ADS71-C/Stalker;Build failed. Requirement not satisfied and no matching distribution 
107;freeman93/rnn-douluodalu;Build failed. Requirement not satisfied and no matching distribution
108;DeyangDai/CS231n;5 failures. Modules
109;JoshWilkins2013/JupyterNotebooks;5 ok
110;xbabinec/hntrends;Build failed. Invalid requirement. 
111;ducminhkhoi/High-Performance-Python;Build failed. Exit status 1 
112;JustinaPetr/BrumAI-Workshop;Error testing. Failed to build repository
113;hhl60492/TriumfDemo;Build failed. Backport for Python 2.7
114;potockan/Text-clustering-basing-on-string-metrics;5 failures. Syntax, modules 
115;ad1m/Language_Detection;Build failed. Requirement not satisfied and no matching distribution
116;andrewtcrooks/andrewtcrooks.com;Build failed. Error status 1. 
117;obestwalter/pet;Username
118;husttzy/cs231n;5 failures. Syntax
119;lijiaman/231nAssignments;5 failures. Modules
120;ivaleraM/GLFM;5 failures, modules 
121;nataquinones/RNA_ThreeD;Username 
122;huizhang0110/cs231n-solution;Username 
123;AKSHAYUBHAT/TensorFace;2 failures. Modules
124;younseunghyun/alpacaca_ysh;2 failures. Modules
125;palmerabollo/facebook-group-crawler;Build failed. No matching distribution found from txt. 
126;SophMC/notechain;5 failures. Modules
127;snow13bbc/HW3_Alignment;Build failed. Exit status 1 
128;lalzada/introduction-to-data-science-in-python-coursera;Build failed. No matching distribution, version requirement not satisfied 
129;dvdwllc/stomping-grounds;Build failed. Exit status 1
130;abhishm/karpathy_class;5 failures. Modules
131;Sirorezka/cs231n_assignment1;Failed to check out ref master
132;jjromano/TDI_stock_project;Build failed. Exit status 1
133;noahgift/recommendations;Build failed. No matching distribution, version requirement not satisfied 
134;CameronBoudreau/linear-regression;Build failed, exit status 1
135;Gmodism/ILAS_python;2 ok. 3 fail. Module, nameError
136;Noahgift/recommendations;5 failures. KeyError, NoRegionError, stdinNotImplementedError, ImportError
137;cristipp/experiments;Username
138;pw2393/chinese-caption;Username
139;vzantedeschi/Dada;Build failed. No matching distribution, version requirement not satisfied 
140;tworuler/cs231n-assignments;5 failures, modules
141;JonathanKross/programming-language-classifier;Build failed. Exit status 1
142;henry32144/neural-style;Build failed. Invalid requirement 
143;MahanFathi/CS231;5 failures. Modules
144;bksk1lz/quantizer;Build failed. No matching distribution, version requirement not satisfied
145;root-ua/returns_prediction;Build failed. SyntaxError leading to subprocess
146;zizhazhu/udacity-exercises;5 failures. Modules
147;isternberg/Pandas_Exploratory_Analysis_Quickie;Build failed. Exit status 1. 
148;acebigdata/UdacityDL;No url found for submodule path. 
149;belskikh/stanford;5 failures. Modules
150;Mungosin/AVSP;Build failed. The backport is for Python 2.7 only
151;jarlekramer/Hydrostatics;Username
152;taylor-hutyra/PredictFB;Build failed. ModuleNotFound leading to exit status 1 
153;kjam/europarl_scraper;3 failures. Modules
154;WasifurRahman/Uber_in_Bangladesh;Build failed. No matching distribution, version requirement not satisfied 
155;nikitautiu/deephtml;Build failed. No matching distribution, version requirement not satisfied
156;mhalsharif/cs231n;5 failures. Modules
157;astromancer/eeg;Build failed. Files/Directory not found in… 
158;Brunel-Visualization/Brunel;5 failures. I and toree210 (kernel)
159;zakiali/binder_firstcal;Build failed. RuntimeError
160;openclimatedata/pyhector;1 failure. PermissionError
161;cjwinchester/hay-data;Build failed. No matching distribution. Version requirement not satisfied 
162;EthanBK/cs231n;5 failures. Syntax
163;UWSEDS-aut17/uwseds-group-nw-climate-crew;3 failures. ImportError, Module, indentationError.
164;nathanneuro/SignalDataScience;Build failed. ModuleNotFound leading to exit status 1
165;rxl194/cpcv102;5 failures. Module, syntax
166;njberejan/atus-analysis;Build failed. No matching distribution. Version requirement not satisfied
167;bayeshack16-superawesometeam/bayeshack16;1 failure. Module
168;adrianmarino/ml-exercices;5 failures. Modules
169;yxiong/tensorflow-playground;5 failures, modules
170;ONSBigData/traffic_as_early_indicator;5 failures. SyntaxError
171;AbrahamEapen/Code-Iris;Build failed. Failed building wheel for pandas. 
172;carricky/cs231n;5 failures. Modules
173;cl-oe/tensorbox;Username
174;ijstokes/pandas-tutorial;Build failed. Could not find version specifying requirement, no matching distribution
175;rhnvrm/htn;Build failed. Could not find version specifying requirement, no matching distribution
176;SeaPeaMurray/MLND;5 failures. Module, name, syntax
177;ulgoon/jakdang-python;Build failed. No matching distribution. Version requirement not satisfied 
178;wjohnson/Azure;3 failures. Modules, fileNotFound
179;saisons/zazzle-product-analysis;Build failed. No matching distribution. Version requirement not satisfied
180;HoogieMan/CFPB-consumer-complaints;1 failure. Module
181;beta4ever/mlnd;Username
182;dremofly/dremofly;Username
183;queirozfcom/data-exploration;Failed building wheel for pandas. 
184;queirozfcom/data-exploration;Build failed. Exit status 1. Failed building wheel 
185;omarocegueda/segmentation;3 failures. Modules
186;sutthisak/learning-python;Build failed. Invalid requirement 
187;bsuper/biomet;Build failed. syntaxError 
188;egorkrash/BayesSRGAN;Build failed. No matching distribution. Version requirement not satisfied
189;irfannurafif/openml-keras;5 failures. Syntax, module
190;leduynguyen/DeepLearningFoundation;5 failures. Modules
;;
;;
;;
