No;Repo;repo2docker-checker results
1;haishenming/uda-u5;1 ok
2;driscollis/NebraskaCode_Python_Decorators;1 failure, TypeError
3;kazup0n/lifegame;1 ok
4;onyxfish/nicar-2017-agate;Build failed
5;datadesk/python-road-clipping-example;1 failure. Cell execution timed out
6;palewire/altair-jupyter-lab-bug-report;1 failure. AttributeError
7;samzhuwj/read-csv;1 ok
8;jakesnow/quakes;Build failed
9;samzhuwj/use-pyfpdf;1 failure. NameError
10;alexbseaton/complex-mappings;Build failure. Failed building wheels
11;agconti/dog-walks;Build failed
12;VioletVivirand/lime-mechine-learning-demo;Build failed
13;TrentoCrowdAI/datasets-preprocessor;Build failed
14;supernova106/pybot;1 ok
15;tammoippen/autoencoder;1 ok
16;trevordmiller/practice-jupyterlab;Build failed.
17;sciyoshi/riddler;Build failed
18;pyrooka/felsogeodezia;2 failures. HTTPError
19;jean-k-cp/python101;Build failed
20;izikeros/blog;Build failed
21;GitNiko/linearC;5 failures. Exited with statuscode 1
22;farnoy/ml;Build failed
23;erikkvale/machine_learning;2 failures. Modules
24;elisabeth-berg/trending-food;Build failed
25;timm052/Realpython;1 ok, 4 failures. SyntaxError, FileNotFound
26;knowsuchagency/knowsuchagency.github.io;No tests found
27;TomoyukiAota/python_playground;Build failed. No url found for submodule path
28;budiryan/colorspace-analysis;Build failed. Package installation failed
29;biozz/advent-of-code-solutions;Username
30;cjwinchester/ire-2018-python-for-data-analysis;Build failed
31;elanorigby/pyquest;Build failed. Package installation failed
32;paulolemus/machine-learning;Build failed. Package installation failed
33;atonderski/tda231-ml-course;Build failed. Package installation failed
34;kurtrm/miscellaneous;Username
35;Jhengsh/tidyframe;5 failures. Modules
36;sci10n/ML-Examples;5 failures. AttributeError, cell execution timed out
37;westen30/playground;5 failures. No such file
38;villeristi/applied-machine-learning-in-python;Build failed
39;alexishevia/jupyter_notebooks;Username
40;foriequal0/grad-proj-tf-tutorial;Build failed
41;dmolesUC3/mrt-autoscale-analysis;Username
42;onnudilol/ml_in_py;Build failed
43;dgkim5360/the-elements-of-statistical-learning-notebooks;Build failed
44;GustavoDinizMonteiro/inverted_index;Build failed
